Kennziffer;Raumeinheit;Aggregat;Ausgaben für Sachinvestitionen;Kinderarmut
"08236";"Enzkreis";"Landkreis";"426,9";"5,7"
"08237";"Freudenstadt";"Landkreis";"318,1";"6,3"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"237,7";"14,8"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"346,8";"6,6"
"08316";"Emmendingen";"Landkreis";"458,2";"6,7"
"08317";"Ortenaukreis";"Landkreis";"338,1";"9,2"
"08325";"Rottweil";"Landkreis";"536,0";"5,9"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"361,9";"8,2"
"08327";"Tuttlingen";"Landkreis";"519,0";"7,0"
"08335";"Konstanz";"Landkreis";"406,2";"9,3"
"08336";"Lörrach";"Landkreis";"400,7";"7,4"
"08337";"Waldshut";"Landkreis";"438,0";"6,5"
"08415";"Reutlingen";"Landkreis";"376,9";"8,9"
"08416";"Tübingen";"Landkreis";"456,1";"7,3"
"08417";"Zollernalbkreis";"Landkreis";"424,3";"6,7"
"08421";"Ulm, Stadt";"krsfr. Stadt";"551,6";"9,9"
"08425";"Alb-Donau-Kreis";"Landkreis";"563,1";"5,4"
"08426";"Biberach";"Landkreis";"662,3";"5,2"
"08435";"Bodenseekreis";"Landkreis";"434,2";"6,5"
"08436";"Ravensburg";"Landkreis";"437,6";"6,2"
"08437";"Sigmaringen";"Landkreis";"447,7";"5,4"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"403,0";"8,5"
"09162";"München, Stadt";"krsfr. Stadt";"419,9";"11,0"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"272,5";"11,0"
"09171";"Altötting";"Landkreis";"598,6";"6,5"
"09172";"Berchtesgadener Land";"Landkreis";"498,1";"6,3"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"485,5";"4,6"
"09174";"Dachau";"Landkreis";"533,8";"3,5"
"09175";"Ebersberg";"Landkreis";"595,2";"2,9"
"09176";"Eichstätt";"Landkreis";"664,9";"2,3"
"09177";"Erding";"Landkreis";"737,5";"3,7"
"09178";"Freising";"Landkreis";"565,7";"2,4"
"09179";"Fürstenfeldbruck";"Landkreis";"439,5";"7,0"
"09180";"Garmisch-Partenkirchen";"Landkreis";"571,2";"7,7"
"09181";"Landsberg am Lech";"Landkreis";"652,5";"4,0"
"09182";"Miesbach";"Landkreis";"464,7";"3,2"
"09183";"Mühldorf a.Inn";"Landkreis";"484,4";"7,0"
"09184";"München";"Landkreis";"743,3";"4,8"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"597,2";"3,8"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"637,3";"2,3"
"09187";"Rosenheim";"Landkreis";"589,2";"3,8"
"09188";"Starnberg";"Landkreis";"510,5";"3,7"
"09189";"Traunstein";"Landkreis";"595,0";"4,1"
"09190";"Weilheim-Schongau";"Landkreis";"707,1";"4,9"
"09261";"Landshut, Stadt";"krsfr. Stadt";"441,0";"9,4"
"09262";"Passau, Stadt";"krsfr. Stadt";"332,6";"12,1"
